State,State_Abbr,EV_Count,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,total_population,total_population_moe,median_household_income,median_household_income_moe,per_capita_income,per_capita_income_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,poverty_rate,aggregate_travel_time_minutes,aggregate_travel_time_minutes_moe,workers_with_commute,workers_with_commute_moe,average_commute_time,Regular_Gas_Price,Mid_Grade_Gas_Price,Premium_Gas_Price,Diesel_Gas_Price,Gas_Price_Date,Station_Count,Stations_With_Nearest_Neighbor,Average_Nearest_Station_Distance_Miles,Median_Nearest_Station_Distance_Miles,Min_Nearest_Station_Distance_Miles,Max_Nearest_Station_Distance_Miles,EVs_Per_100k_People,Charging_Stations_Per_100k_People,EVs_Per_Charging_Station,DC_Fast_Charger_Share,Public_Station_Share
Alabama,AL,13047,657,1269,903,547,110,5028092,NA,59609,377,33344,211,4890427,1609,768897,10935,15.722492125943194,51658910,345778,2038271,9751,25.34447578364212,4.1,4.539,4.943,5.28,5/7/26,657,657,0.89,0.08,0,23.88,259.48212562538635,13.066586689344586,19.858447488584474,41.574585635359114,83.25722983257229
Alaska,AK,2697,83,120,91,74,9,734821,NA,86370,1083,42828,523,717293,533,75227,3390,10.487625001219865,6227605,101906,322786,2425,19.29329338942829,5.213,5.409,5.665,5.935,5/7/26,83,83,24.29,0.35,0,957.02,367.02816059965625,11.295267827130688,32.493975903614455,43.127962085308056,89.1566265060241
Arizona,AZ,89798,1582,3530,1444,1481,101,7172282,NA,72581,450,38334,204,7017776,1577,916876,13566,13.065050808119269,71059330,410968,2781695,11961,25.545334768908884,4.842,5.209,5.532,5.786,5/7/26,1582,1582,0.59,0.06,0,47.59,1252.0143519175626,22.05713606910604,56.76232616940582,29.030960997185364,93.61567635903918
Arkansas,AR,7108,394,884,263,365,29,3018669,NA,56335,422,31868,310,2931377,1030,475729,6881,16.228857632436906,26944420,228478,1216093,6738,22.156545593141313,4.027,4.481,4.82,5.231,5/7/26,394,394,1.3,0.2,0,42.19,235.46801587057078,13.05211005247677,18.04060913705584,22.929380993897123,92.63959390862944
California,CA,1256646,20628,56691,18271,19414,1214,39356104,NA,91905,277,45591,149,38643585,4300,4685272,38720,12.124320246167636,463270935,1077551,15852627,22378,29.223606598452104,6.165,6.397,6.585,7.493,5/7/26,20628,20628,0.18,0.01,0,46.1,3193.0142272212715,52.41372469185466,60.919429901105296,24.373682665884047,94.11479542369595
Colorado,CO,90083,2949,6598,1595,2768,181,5770790,NA,87598,508,47346,253,5653289,1198,540105,10645,9.553819024642117,64239000,353869,2510939,8760,25.58365615413198,4.403,4.802,5.131,5.495,5/7/26,2949,2949,0.44,0.03,0,37.06,1561.0167758660425,51.10218878177858,30.54696507290607,19.467838398632978,93.86232621227535
Connecticut,CT,31557,1698,4460,804,1546,152,3611317,NA,90213,730,52034,404,3507563,869,355692,7493,10.140715932971126,41563900,302595,1571527,7905,26.44809793277494,4.622,5.104,5.51,5.849,5/7/26,1698,1698,0.3,0.08,0,6.11,873.8363317316092,47.018857663284614,18.584805653710248,15.27355623100304,91.04829210836277
Delaware,DE,8435,254,469,301,232,22,993635,NA,79325,1227,42180,471,969075,731,107790,3568,11.122978097670458,10713835,153595,414326,3827,25.858466521531355,4.354,4.873,5.175,5.561,5/7/26,254,254,0.41,0.06,0,6.68,848.9032693091527,25.562706627685216,33.20866141732284,39.09090909090909,91.33858267716535
Florida,FL,254878,4659,11039,4880,4323,336,21634529,NA,67917,259,38850,186,21171700,2589,2725633,29282,12.873944935928622,243090270,907292,8716108,20822,27.8897725911611,4.519,4.955,5.287,5.377,5/7/26,4659,4659,0.42,0.09,0,24.42,1178.107459607741,21.5350193202727,54.70658939686628,30.655191909039512,92.78815196394076
Georgia,GA,92368,2484,6169,2210,2365,119,10722325,NA,71355,353,37836,200,10462430,2126,1415573,19488,13.530059460373929,125025400,677251,4396399,15305,28.438137666758635,4.097,4.547,4.961,5.196,5/7/26,2484,2484,0.76,0.03,0,836.34,861.4549549654575,23.16661731480812,37.18518518518518,26.37546246568803,95.20933977455717
