State,State_Abbr,EV_Count,Population,Median_Household_Income,Poverty_Rate,Average_Commute_Time,AFDC_Charging_Station_Count,Official_Charger_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,PlugShare_Station_Count,EVs_Per_10000_Residents,Chargers_Per_1000_EVs,PlugShare_Per_10000_Residents,AFDC_vs_PlugShare_Gap,EV_Adoption_Score,Official_Charging_Infrastructure_Score,Consumer_Facing_Charging_Visibility_Score,Economic_Readiness_Score,EV_Opportunity_Score,Opportunity_Rank,Opportunity_Category,Top_10_Flag,Dashboard_Refresh_Date
California,CA,1256646,39356104,91905,12.124320246167636,29.22,20578,74869,56618,18251,19364,1214,60319,319.3,59.58,15.33,-39741,100,6,67.43,82.11,67.14,1,High,TRUE,2026-05-05
Vermont,VT,7816,643816,74014,10.427024998510172,23.34,561,1461,1177,284,539,22,1378,121.4,186.92,21.4,-817,35.57,53.99,100,40.71,51.12,2,High,TRUE,2026-05-05
Massachusetts,MA,73768,6984205,96505,9.9281159170337,29.4,4493,11769,9994,1775,4241,252,8351,105.62,159.54,11.96,-3858,30.44,43.67,49.36,66.66,45.64,3,High,TRUE,2026-05-05
Washington,WA,152101,7688549,90325,9.89639170085106,27.33,3233,9225,7110,2115,3011,222,8330,197.83,60.65,10.83,-5097,60.45,6.4,43.35,61.85,44.72,4,High,TRUE,2026-05-05
Connecticut,CT,31557,3611317,90213,10.140715932971126,26.45,1691,5225,4448,777,1539,152,4698,87.38,165.57,13.01,-3007,24.5,45.94,55,57.98,42.8,5,High,TRUE,2026-05-05
Colorado,CO,90083,5770790,87598,9.553819024642117,25.58,2931,8156,6576,1580,2750,181,6512,156.1,90.54,11.28,-3581,46.87,17.67,45.76,58.83,42.39,6,High,TRUE,2026-05-05
Wyoming,WY,1139,577929,72495,10.660072149688444,17.97,131,352,178,174,119,12,521,19.71,309.04,9.01,-390,2.47,100,33.59,38.73,40.59,7,High,TRUE,2026-05-05
Maryland,MD,72139,6161707,98461,9.25650280396134,31.99,1821,6042,4589,1453,1675,146,5903,117.08,83.75,9.58,-4082,34.16,15.11,36.62,69.44,38.59,8,High,TRUE,2026-05-05
Maine,ME,7377,1366949,68251,10.943665595048795,24.42,675,1653,1275,378,648,27,1658,53.97,224.07,12.13,-983,13.62,67.98,50.29,34.89,38.03,9,High,TRUE,2026-05-05
Hawaii,HI,25565,1450589,94814,9.609609821890578,26.56,428,1116,935,181,384,44,1027,176.24,43.65,7.08,-599,53.43,0,23.22,61.69,37.61,10,High,TRUE,2026-05-05
North Dakota,ND,959,776874,73959,10.763530000959008,17.9,113,283,136,147,109,4,584,12.34,295.1,7.52,-471,0.07,94.75,25.57,39.91,37.52,11,High,FALSE,2026-05-05
Utah,UT,39998,3283809,86833,8.51545504900004,21.92,1046,3146,2325,821,988,58,3604,121.8,78.65,10.98,-2558,35.7,13.19,44.1,58.86,37.12,12,High,FALSE,2026-05-05
New York,NY,131250,19994379,81386,13.60694005374913,33.17,5509,21021,17853,3168,5241,268,20955,65.64,160.16,10.48,-15446,17.42,43.9,41.45,54.13,36.82,13,High,FALSE,2026-05-05
New Jersey,NJ,134753,9249063,97126,9.681402453796409,31.13,1926,6719,4645,2074,1820,106,6587,145.69,49.86,7.12,-4661,43.48,2.34,23.45,69.58,36.72,14,High,FALSE,2026-05-05
Oregon,OR,64361,4229374,76632,11.910194035527306,23.3,1734,4489,3228,1261,1632,102,4488,152.18,69.75,10.61,-2754,45.59,9.83,42.15,42.04,35.25,15,High,FALSE,2026-05-05
Nevada,NV,47361,3104817,71646,12.71182927732838,24.71,685,3024,1851,1173,647,38,2777,152.54,63.85,8.94,-2092,45.71,7.61,33.22,34.76,31.57,16,High,FALSE,2026-05-05
Virginia,VA,84936,8624511,87249,9.98459027470076,27.86,2014,6203,4496,1707,1832,182,5726,98.48,73.03,6.64,-3712,28.11,11.07,20.86,59.64,30.65,17,High,FALSE,2026-05-05
New Hampshire,NH,9861,1379610,90845,7.325117866625276,26.98,334,848,527,321,298,36,907,71.48,86,6.57,-573,19.32,15.95,20.51,63.92,29.81,18,Medium,FALSE,2026-05-05
Delaware,DE,8435,993635,79325,11.122978097670458,25.86,253,768,467,301,231,22,868,84.89,91.05,8.74,-615,23.69,17.86,32.1,43.89,28.54,19,Medium,FALSE,2026-05-05
South Dakota,SD,1675,890342,69457,12.259809171566705,17.45,120,344,185,159,118,2,731,18.81,205.37,8.21,-611,2.17,60.94,29.28,32.26,28.45,20,Medium,FALSE,2026-05-05
Rhode Island,RI,6396,1094250,81370,11.222117744148305,25.3,364,917,791,126,333,31,607,58.45,143.37,5.55,-243,15.08,37.57,15.01,45.52,28.3,21,Medium,FALSE,2026-05-05
Minnesota,MN,37050,5695292,84313,9.262296155444911,23.3,1171,3291,2294,997,1126,45,4199,65.05,88.83,7.37,-3028,17.23,17.02,24.79,56.62,28.16,22,Medium,FALSE,2026-05-05
Florida,FL,254878,21634529,67917,12.873944935928622,27.89,4637,15829,10993,4836,4301,336,13654,117.81,62.1,6.31,-9017,34.4,6.95,19.1,45.4,28,23,Medium,FALSE,2026-05-05
Michigan,MI,50284,10057921,68505,13.13491329111057,24.48,2119,5935,4326,1609,2007,112,10451,49.99,118.03,10.39,-8332,12.33,28.03,40.97,36.3,26.54,24,Medium,FALSE,2026-05-05
Arizona,AZ,89798,7172282,72581,13.065050808119269,25.55,1581,4973,3530,1443,1480,101,4707,125.2,55.38,6.56,-3126,36.81,4.42,20.45,37.83,26.51,25,Medium,FALSE,2026-05-05
Georgia,GA,92368,10722325,71355,13.530059460373929,28.44,2484,8311,6165,2146,2365,119,7694,86.15,89.98,7.18,-5210,24.1,17.45,23.74,38.33,25.94,26,Medium,FALSE,2026-05-05
Illinois,IL,99573,12757634,78433,11.763222409065586,28.41,1872,6125,3613,2512,1739,133,7841,78.05,61.51,6.15,-5969,21.46,6.73,18.22,50.59,24.57,27,Medium,FALSE,2026-05-05
Texas,TX,230125,29243342,73035,13.944421378427284,26.58,3989,13106,8318,4788,3737,252,15011,78.69,56.95,5.13,-11022,21.67,5.01,12.79,53.09,24.03,28,Medium,FALSE,2026-05-05
Iowa,IA,9031,3188836,70571,11.108485305433897,19.65,509,1345,773,572,485,24,1768,28.32,148.93,5.54,-1259,5.27,39.67,14.99,37.93,23.49,29,Medium,FALSE,2026-05-05
Kansas,KS,11271,2935922,69747,11.581155861637011,19.69,612,1540,1162,378,572,40,1688,38.39,136.63,5.75,-1076,8.55,35.04,16.09,35.81,23.12,30,Medium,FALSE,2026-05-05
Montana,MT,4608,1091840,66341,12.411913951666987,18.81,164,482,227,255,159,5,1106,42.2,104.6,10.13,-942,9.79,22.97,39.57,29.29,22.43,31,Medium,FALSE,2026-05-05
Pennsylvania,PA,70154,12989208,73170,11.7821035794828,26.74,2113,6011,4138,1873,1995,118,6136,54.01,85.68,4.72,-4023,13.63,15.84,10.59,46.09,21.84,32,Medium,FALSE,2026-05-05
Wisconsin,WI,24943,5882128,72458,10.650244360077476,22.18,921,2420,1552,868,882,39,3438,42.4,97.02,5.84,-2517,9.86,20.11,16.6,42.83,21.67,33,Medium,FALSE,2026-05-05
North Carolina,NC,70164,10470214,66186,13.326107839513536,25.01,2013,6207,4420,1787,1904,109,6248,67.01,88.46,5.97,-4235,17.87,16.88,17.26,34.1,21.59,34,Medium,FALSE,2026-05-05
Nebraska,NE,6920,1958939,71722,10.398441171678073,19.09,332,756,516,240,322,10,1213,35.33,109.25,6.19,-881,7.55,24.72,18.46,39.78,21.54,35,Low,FALSE,2026-05-05
West Virginia,WV,2758,1792967,55217,16.803664956131186,26.3,207,582,369,213,184,23,1158,15.38,211.02,6.46,-951,1.06,63.07,19.89,8.95,21.36,36,Low,FALSE,2026-05-05
Missouri,MO,26861,6154422,65920,12.820297552948102,23.76,1381,3385,2564,821,1312,69,3208,43.65,126.02,5.21,-1827,10.26,31.04,13.21,31.81,21.28,37,Low,FALSE,2026-05-05
Ohio,OH,50393,11774683,66990,13.305625102635451,23.64,2064,5721,4235,1486,1920,144,5537,42.8,113.53,4.7,-3473,9.98,26.33,10.48,35.87,20.62,38,Low,FALSE,2026-05-05
Alaska,AK,2697,734821,86370,10.487625001219865,19.29,84,217,120,97,75,9,323,36.7,80.46,4.4,-239,8,13.87,8.83,51.49,20.47,39,Low,FALSE,2026-05-05
Idaho,ID,8501,1854109,70214,11.01173363290602,21.4,271,762,476,286,241,30,1091,45.85,89.64,5.88,-820,10.98,17.33,16.81,36.83,19.9,40,Low,FALSE,2026-05-05
Alabama,AL,13047,5028092,59609,15.722492125943194,25.34,661,2170,1266,904,551,110,2307,25.95,166.32,4.59,-1646,4.5,46.22,9.87,18.05,19.12,41,Low,FALSE,2026-05-05
New Mexico,NM,10276,2112463,58722,18.283786406923145,23.14,508,1330,756,574,460,48,1744,48.64,129.43,8.26,-1236,11.89,32.32,29.53,8.54,18.8,42,Low,FALSE,2026-05-05
Tennessee,TN,33221,6923772,64035,13.959259708007147,25.49,1235,3374,2388,986,1115,120,3651,47.98,101.56,5.27,-2416,11.67,21.82,13.54,27.86,18.54,43,Low,FALSE,2026-05-05
Indiana,IN,26101,6784403,67173,12.30361800145239,23.98,766,2484,1550,934,701,65,2957,38.47,95.17,4.36,-2191,8.57,19.41,8.64,34.7,17.82,44,Low,FALSE,2026-05-05
South Carolina,SC,20873,5142750,63623,14.350287026131012,25.53,746,2305,1355,950,673,73,2561,40.59,110.43,4.98,-1815,9.26,25.16,11.97,25.14,17.61,45,Low,FALSE,2026-05-05
Arkansas,AR,7108,3018669,56335,16.228857632436906,22.16,395,1148,886,262,366,29,1471,23.55,161.51,4.87,-1076,3.72,44.41,11.39,12.34,17.2,46,Low,FALSE,2026-05-05
Mississippi,MS,3590,2958846,52985,19.19687815143246,25.44,248,782,453,329,220,28,879,12.13,217.83,2.97,-631,0,65.63,1.2,1.84,17.05,47,Low,FALSE,2026-05-05
Oklahoma,OK,22843,3970497,61364,15.229635767011064,22.31,435,1906,911,995,391,44,1857,57.53,83.44,4.68,-1422,14.78,14.99,10.34,20.02,15.48,48,Low,FALSE,2026-05-05
Kentucky,KY,11617,4502935,60183,16.11704673650374,23.91,417,1261,829,432,389,28,1803,25.8,108.55,4,-1386,4.45,24.45,6.74,17.15,12.97,49,Low,FALSE,2026-05-05
Louisiana,LA,8150,4640546,57852,18.654776592546447,25.97,321,962,587,375,270,51,1275,17.56,118.04,2.75,-954,1.77,28.03,0,8.79,9.82,50,Low,FALSE,2026-05-05
