State,State_Abbr,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count
Alabama,AL,657,1269,903,547,110
Alaska,AK,83,120,91,74,9
Arizona,AZ,1582,3530,1444,1481,101
Arkansas,AR,394,884,263,365,29
California,CA,20628,56691,18271,19414,1214
Colorado,CO,2949,6598,1595,2768,181
Connecticut,CT,1698,4460,804,1546,152
Delaware,DE,254,469,301,232,22
Florida,FL,4659,11039,4880,4323,336
Georgia,GA,2484,6169,2210,2365,119
Hawaii,HI,428,934,183,384,44
Idaho,ID,271,476,286,241,30
Illinois,IL,1910,3683,2520,1777,133
Indiana,IN,767,1542,951,702,65
Iowa,IA,508,769,576,484,24
Kansas,KS,611,1160,374,571,40
Kentucky,KY,409,824,422,381,28
Louisiana,LA,326,589,382,275,51
Maine,ME,683,1279,412,656,27
Maryland,MD,1823,4592,1463,1677,146
Massachusetts,MA,4505,9991,1853,4253,252
Michigan,MI,2122,4314,1625,2010,112
Minnesota,MN,1174,2294,1000,1129,45
Mississippi,MS,249,451,334,221,28
Missouri,MO,1394,2572,843,1325,69
Montana,MT,164,227,255,159,5
Nebraska,NE,331,515,240,321,10
Nevada,NV,687,1853,1174,649,38
New Hampshire,NH,335,525,332,299,36
New Jersey,NJ,1934,4673,2075,1828,106
New Mexico,NM,509,757,577,461,48
New York,NY,5512,17845,3178,5244,268
North Carolina,NC,2021,4425,1805,1912,109
North Dakota,ND,113,136,147,109,4
Ohio,OH,2064,4232,1496,1920,144
Oklahoma,OK,437,912,989,393,44
Oregon,OR,1743,3243,1272,1641,102
Pennsylvania,PA,2127,4161,1881,2009,118
Rhode Island,RI,365,791,127,334,31
South Carolina,SC,744,1354,961,671,73
South Dakota,SD,121,185,160,119,2
Tennessee,TN,1228,2380,1004,1108,120
Texas,TX,3994,8317,4911,3742,252
Utah,UT,1051,2330,837,993,58
Vermont,VT,560,1175,295,538,22
Virginia,VA,2024,4497,1749,1842,182
Washington,WA,3237,7128,2110,3015,222
West Virginia,WV,210,377,217,187,23
Wisconsin,WI,920,1547,870,881,39
Wyoming,WY,131,177,175,119,12
