Station_ID,Station_Name,Street_Address,City,State,State_Abbr,ZIP,Latitude,Longitude,Access_Type,Station_Status,EV_Network,Level2_Charger_Count,DC_Fast_Charger_Count,Total_EVSE_Count,Owner_Type_Code,Facility_Type,Open_Date,Date_Last_Confirmed,Updated_At
322284,Lowe's Home Improvement - Tesla Supercharger,235 Colonial Promenade Pkwy,Alabaster,Alabama,AL,35007,33.230834,-86.803572,Public,Available,Tesla,0,16,16,P,PARKING_LOT,2023-12-07,2024-07-01,2025-02-12T00:16:32Z
170322,"Walmart 423 (Alabaster, AL)",630 COLONIAL PKWY,Alabaster,Alabama,AL,35007,33.23676,-86.80281,Public,Available,Electrify America,0,4,4,NA,NA,2020-12-18,2026-05-07,2026-05-07T04:08:06Z
46668,Nissan of Albertville,9736 US Highway 431,Albertville,Alabama,AL,35950,34.291168,-86.244713,Private,Available,Non-Networked,1,1,2,P,CAR_DEALER,2012-01-31,2026-01-13,2026-02-02T23:16:24Z
404594,ADVANCE CARE AC CHARGER,3504 US-280,Alexander City,Alabama,AL,35010,32.925234,-85.962237,Public,Available,ChargePoint Network,2,0,2,NA,NA,2025-06-27,2026-05-07,2026-05-07T03:16:22Z
195944,ALEXANDER CITY STATION 1,James D. Nabors Dr,Alexander City,Alabama,AL,35010,32.928419,-85.960935,Public,Available,ChargePoint Network,2,0,2,NA,NA,2021-09-16,2026-05-07,2026-05-07T01:47:34Z
196005,ALEXANDER CITY STATION 2,James D. Nabors Dr,Alexander City,Alabama,AL,35010,32.92832,-85.96114,Public,Available,ChargePoint Network,2,0,2,NA,NA,2021-09-17,2026-05-07,2026-05-07T01:47:34Z
196006,ALEXANDER CITY STATION 3,James D. Nabors Dr,Alexander City,Alabama,AL,35010,32.928297,-85.960997,Public,Available,ChargePoint Network,2,0,2,NA,NA,2021-09-17,2026-05-07,2026-05-07T01:47:34Z
387374,ALLEN FOOD ALLENFOOD 15-1,4880 US-280,Alexander City,Alabama,AL,35010,32.914066,-85.951429,Public,Available,ChargePoint Network,0,1,1,NA,NA,2025-03-07,2026-05-07,2026-05-07T03:17:34Z
387375,ALLEN FOOD ALLENFOOD 15-2,4880 US-280,Alexander City,Alabama,AL,35010,32.914041,-85.951446,Public,Available,ChargePoint Network,0,1,1,NA,NA,2025-03-07,2026-05-07,2026-05-07T03:17:35Z
350459,Winn-Dixie - Tesla Supercharger,1061 US-280,Alexander City,Alabama,AL,35010,32.922475,-85.960246,Public,Available,Tesla,0,12,12,P,GROCERY,2024-07-11,2024-08-15,2025-02-12T00:16:32Z
