State,State_Abbr,Census_GEOID,total_population,total_population_moe,median_household_income,median_household_income_moe,per_capita_income,per_capita_income_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,poverty_rate,aggregate_travel_time_minutes,aggregate_travel_time_minutes_moe,workers_with_commute,workers_with_commute_moe,average_commute_time
Alabama,AL,01,5028092,NA,59609,377,33344,211,4890427,1609,768897,10935,15.722492125943194,51658910,345778,2038271,9751,25.344475783642118
Alaska,AK,02,734821,NA,86370,1083,42828,523,717293,533,75227,3390,10.487625001219865,6227605,101906,322786,2425,19.29329338942829
Arizona,AZ,04,7172282,NA,72581,450,38334,204,7017776,1577,916876,13566,13.065050808119267,71059330,410968,2781695,11961,25.545334768908884
Arkansas,AR,05,3018669,NA,56335,422,31868,310,2931377,1030,475729,6881,16.228857632436906,26944420,228478,1216093,6738,22.156545593141313
California,CA,06,39356104,NA,91905,277,45591,149,38643585,4300,4685272,38720,12.124320246167636,463270935,1077551,15852627,22378,29.223606598452104
Colorado,CO,08,5770790,NA,87598,508,47346,253,5653289,1198,540105,10645,9.553819024642115,64239000,353869,2510939,8760,25.58365615413198
Connecticut,CT,09,3611317,NA,90213,730,52034,404,3507563,869,355692,7493,10.140715932971126,41563900,302595,1571527,7905,26.44809793277494
Delaware,DE,10,993635,NA,79325,1227,42180,471,969075,731,107790,3568,11.122978097670458,10713835,153595,414326,3827,25.858466521531355
Florida,FL,12,21634529,NA,67917,259,38850,186,21171700,2589,2725633,29282,12.873944935928622,243090270,907292,8716108,20822,27.8897725911611
Georgia,GA,13,10722325,NA,71355,353,37836,200,10462430,2126,1415573,19488,13.530059460373929,125025400,677251,4396399,15305,28.438137666758635
Hawaii,HI,15,1450589,NA,94814,994,42683,431,1414636,1005,135941,4495,9.609609821890578,17217230,196804,648127,4349,26.564593050436102
Idaho,ID,16,1854109,NA,70214,715,34919,346,1805238,753,198788,5715,11.01173363290602,16459620,158376,769308,4405,21.39535790606623
Illinois,IL,17,12757634,NA,78433,297,43198,199,12478664,2363,1467893,16574,11.763222409065586,154142485,641806,5425313,15614,28.411722051796826
Indiana,IN,18,6784403,NA,67173,383,35578,204,6589135,2136,810702,12590,12.30361800145239,70930795,439123,2958495,10650,23.975296561258343
Iowa,IA,19,3188836,NA,70571,395,37949,241,3088999,950,343141,6097,11.108485305433897,28493995,232811,1450236,6535,19.6478331802548
Kansas,KS,20,2935922,NA,69747,479,38108,364,2848334,928,329870,7570,11.581155861637013,25744330,198234,1307787,6276,19.685415132586577
Kentucky,KY,21,4502935,NA,60183,443,33515,209,4372749,1269,704758,11207,16.11704673650374,43874500,339555,1835303,7988,23.905861865860842
Louisiana,LA,22,4640546,NA,57852,468,32981,265,4513793,1758,842038,13427,18.654776592546447,48590975,384117,1870919,9128,25.971714970022752
Maine,ME,23,1366949,NA,68251,611,39718,394,1329454,587,145491,4297,10.943665595048795,14349275,177381,587492,3670,24.424630463053113
Maryland,MD,24,6161707,NA,98461,511,49865,225,6034320,1972,558567,12491,9.256502803961341,84650040,434310,2646267,10474,31.98847281850244
Massachusetts,MA,25,6984205,NA,96505,551,53513,287,6772292,1548,672361,11769,9.9281159170337,90231105,461562,3068880,9678,29.401965863767888
Michigan,MI,26,10057921,NA,68505,307,37929,155,9845242,1606,1293164,13321,13.13491329111057,101384605,438980,4141683,12295,24.47908374445847
Minnesota,MN,27,5695292,NA,84313,348,44947,204,5574039,1507,516284,8477,9.262296155444911,59047540,291916,2534151,7868,23.300718860083713
Mississippi,MS,28,2958846,NA,52985,527,29209,294,2858819,1158,548804,8778,19.19687815143246,29946515,313109,1177214,7142,25.438463185113328
Missouri,MO,29,6154422,NA,65920,361,36754,192,5979440,1650,766582,11744,12.820297552948102,62486085,394655,2630328,9923,23.756004954515177
Montana,MT,30,1091840,NA,66341,748,37837,460,1066145,564,132329,4021,12.411913951666987,8859095,117055,470973,3019,18.81019718752455
Nebraska,NE,31,1958939,NA,71722,577,38585,300,1908613,865,198466,4850,10.398441171678073,17473485,158097,915345,3738,19.089507234976978
Nevada,NV,32,3104817,NA,71646,495,37945,252,3063729,1385,389456,7392,12.71182927732838,32249110,218985,1305189,6290,24.70838323032143
