State,State_Abbr,EV_Count
Alabama,AL,13047
Alaska,AK,2697
Arizona,AZ,89798
Arkansas,AR,7108
California,CA,1256646
Colorado,CO,90083
Connecticut,CT,31557
Delaware,DE,8435
Florida,FL,254878
Georgia,GA,92368
Hawaii,HI,25565
Idaho,ID,8501
Illinois,IL,99573
Indiana,IN,26101
Iowa,IA,9031
Kansas,KS,11271
Kentucky,KY,11617
Louisiana,LA,8150
Maine,ME,7377
Maryland,MD,72139
Massachusetts,MA,73768
Michigan,MI,50284
Minnesota,MN,37050
Mississippi,MS,3590
Missouri,MO,26861
Montana,MT,4608
Nebraska,NE,6920
Nevada,NV,47361
New Hampshire,NH,9861
New Jersey,NJ,134753
New Mexico,NM,10276
New York,NY,131250
North Carolina,NC,70164
North Dakota,ND,959
Ohio,OH,50393
Oklahoma,OK,22843
Oregon,OR,64361
Pennsylvania,PA,70154
Rhode Island,RI,6396
South Carolina,SC,20873
South Dakota,SD,1675
Tennessee,TN,33221
Texas,TX,230125
Utah,UT,39998
Vermont,VT,7816
Virginia,VA,84936
Washington,WA,152101
West Virginia,WV,2758
Wisconsin,WI,24943
Wyoming,WY,1139
