State,State_Abbr,PlugShare_Station_Count,Source,Scrape_Date
Alabama,AL,2307,PlugShare U.S. Directory,2026-05-04
Alaska,AK,323,PlugShare U.S. Directory,2026-05-04
Arizona,AZ,4707,PlugShare U.S. Directory,2026-05-04
Arkansas,AR,1471,PlugShare U.S. Directory,2026-05-04
California,CA,60319,PlugShare U.S. Directory,2026-05-04
Colorado,CO,6512,PlugShare U.S. Directory,2026-05-04
Connecticut,CT,4698,PlugShare U.S. Directory,2026-05-04
Delaware,DE,868,PlugShare U.S. Directory,2026-05-04
Florida,FL,13654,PlugShare U.S. Directory,2026-05-04
Georgia,GA,7694,PlugShare U.S. Directory,2026-05-04
Hawaii,HI,1027,PlugShare U.S. Directory,2026-05-04
Idaho,ID,1091,PlugShare U.S. Directory,2026-05-04
Illinois,IL,7841,PlugShare U.S. Directory,2026-05-04
Indiana,IN,2957,PlugShare U.S. Directory,2026-05-04
Iowa,IA,1768,PlugShare U.S. Directory,2026-05-04
Kansas,KS,1688,PlugShare U.S. Directory,2026-05-04
Kentucky,KY,1803,PlugShare U.S. Directory,2026-05-04
Louisiana,LA,1275,PlugShare U.S. Directory,2026-05-04
Maine,ME,1658,PlugShare U.S. Directory,2026-05-04
Maryland,MD,5903,PlugShare U.S. Directory,2026-05-04
Massachusetts,MA,8351,PlugShare U.S. Directory,2026-05-04
Michigan,MI,10451,PlugShare U.S. Directory,2026-05-04
Minnesota,MN,4199,PlugShare U.S. Directory,2026-05-04
Mississippi,MS,879,PlugShare U.S. Directory,2026-05-04
Missouri,MO,3208,PlugShare U.S. Directory,2026-05-04
Montana,MT,1106,PlugShare U.S. Directory,2026-05-04
Nebraska,NE,1213,PlugShare U.S. Directory,2026-05-04
Nevada,NV,2777,PlugShare U.S. Directory,2026-05-04
New Hampshire,NH,907,PlugShare U.S. Directory,2026-05-04
New Jersey,NJ,6587,PlugShare U.S. Directory,2026-05-04
New Mexico,NM,1744,PlugShare U.S. Directory,2026-05-04
New York,NY,20955,PlugShare U.S. Directory,2026-05-04
North Carolina,NC,6248,PlugShare U.S. Directory,2026-05-04
North Dakota,ND,584,PlugShare U.S. Directory,2026-05-04
Ohio,OH,5537,PlugShare U.S. Directory,2026-05-04
Oklahoma,OK,1857,PlugShare U.S. Directory,2026-05-04
Oregon,OR,4488,PlugShare U.S. Directory,2026-05-04
Pennsylvania,PA,6136,PlugShare U.S. Directory,2026-05-04
Rhode Island,RI,607,PlugShare U.S. Directory,2026-05-04
South Carolina,SC,2561,PlugShare U.S. Directory,2026-05-04
South Dakota,SD,731,PlugShare U.S. Directory,2026-05-04
Tennessee,TN,3651,PlugShare U.S. Directory,2026-05-04
Texas,TX,15011,PlugShare U.S. Directory,2026-05-04
Utah,UT,3604,PlugShare U.S. Directory,2026-05-04
Vermont,VT,1378,PlugShare U.S. Directory,2026-05-04
Virginia,VA,5726,PlugShare U.S. Directory,2026-05-04
Washington,WA,8330,PlugShare U.S. Directory,2026-05-04
West Virginia,WV,1158,PlugShare U.S. Directory,2026-05-04
Wisconsin,WI,3438,PlugShare U.S. Directory,2026-05-04
Wyoming,WY,521,PlugShare U.S. Directory,2026-05-04
