Field,Description,Source,Use_In_Dashboard
Station_ID,Unique AFDC station identifier.,AFDC Alternative Fuel Stations API,Detail field / unique key.
Station_Name,Charging station name.,AFDC Alternative Fuel Stations API,Tooltip / station label.
Street_Address,Station street address.,AFDC Alternative Fuel Stations API,Tooltip.
City,Station city.,AFDC Alternative Fuel Stations API,Tooltip and filter.
State,Station state name.,AFDC Alternative Fuel Stations API plus state lookup,Filter and map grouping.
State_Abbr,Two-letter state abbreviation.,AFDC Alternative Fuel Stations API,Filter and relationship key.
ZIP,Station ZIP code.,AFDC Alternative Fuel Stations API,Tooltip and local filtering.
Latitude,Station latitude.,AFDC Alternative Fuel Stations API,Map latitude coordinate.
Longitude,Station longitude.,AFDC Alternative Fuel Stations API,Map longitude coordinate.
Access_Type,Public or private station access.,AFDC Alternative Fuel Stations API,"Color, filter, or tooltip."
Station_Status,Station availability status.,AFDC Alternative Fuel Stations API,Filter or tooltip.
EV_Network,Charging network name when available.,AFDC Alternative Fuel Stations API,"Filter, color, or tooltip."
Level2_Charger_Count,Number of Level 2 EVSE at the station.,AFDC Alternative Fuel Stations API,Tooltip or station size.
DC_Fast_Charger_Count,Number of DC fast chargers at the station.,AFDC Alternative Fuel Stations API,"Tooltip, filter, or station size."
Total_EVSE_Count,Total Level 2 plus DC fast chargers at the station.,Calculated from AFDC fields,Station mark size.
Has_Level2_Charger,TRUE if the station has at least one Level 2 charger.,Calculated,Filter.
Has_DC_Fast_Charger,TRUE if the station has at least one DC fast charger.,Calculated,Filter.
Owner_Type_Code,AFDC owner type code.,AFDC Alternative Fuel Stations API,Tooltip / optional filter.
Facility_Type,AFDC facility type code.,AFDC Alternative Fuel Stations API,Tooltip / optional filter.
Open_Date,Station open date when available.,AFDC Alternative Fuel Stations API,Tooltip.
Date_Last_Confirmed,Date AFDC last confirmed the station record.,AFDC Alternative Fuel Stations API,Data freshness tooltip.
Updated_At,Timestamp when AFDC station record was updated.,AFDC Alternative Fuel Stations API,Data freshness tooltip.
EV_Opportunity_Score,State-level EV opportunity score joined onto each station.,Final state dataset,"Color, tooltip, or dashboard context."
Opportunity_Rank,State-level opportunity rank joined onto each station.,Final state dataset,Tooltip or filter.
Opportunity_Category,"High, Medium, or Low opportunity category joined onto each station.",Final state dataset,Color or filter.
EVs_Per_10000_Residents,State-level EV adoption rate joined onto each station.,Final state dataset,Tooltip or context.
Chargers_Per_1000_EVs,State-level charger availability rate joined onto each station.,Final state dataset,Tooltip or context.
Dashboard_Refresh_Date,Date the station map extract was created.,Calculated,Data freshness tooltip.
