Field,Description,Source,Calculation
State,U.S. state name.,State lookup,Direct lookup value.
State_Abbr,Two-letter state abbreviation.,State lookup,Direct lookup value.
EV_Count,Registered light-duty electric vehicles by state.,AFDC EV registrations,Renamed from ev_registration_count.
Population,Total state population.,Census ACS 5-year,ACS B01003_001 estimate.
Median_Household_Income,Median household income in dollars.,Census ACS 5-year,ACS B19013_001 estimate.
Per_Capita_Income,Per capita income in dollars.,Census ACS 5-year,ACS B19301_001 estimate.
Pct_Bachelors_or_Higher,Percent of adults age 25+ with a bachelor's degree or higher.,Census ACS 5-year,Bachelor's or higher count divided by education 25+ universe.
Unemployment_Rate,State unemployment rate.,Census ACS 5-year,Unemployed population divided by civilian labor force.
Poverty_Rate,Percent of people below poverty level.,Census ACS 5-year,Poverty count divided by poverty universe.
Average_Commute_Time,Average commute time in minutes.,Census ACS 5-year,Aggregate travel time divided by workers with commute time.
AFDC_Charging_Station_Count,Official AFDC electric charging station count.,AFDC Alternative Fuel Stations API,Count of electric station records by state.
Official_Charger_Count,Total official Level 2 and DC fast charger count.,AFDC Alternative Fuel Stations API,Level2_Charger_Count plus DC_Fast_Charger_Count.
Level2_Charger_Count,Official Level 2 EVSE count.,AFDC Alternative Fuel Stations API,Sum of ev_level2_evse_num by state.
DC_Fast_Charger_Count,Official DC fast charger count.,AFDC Alternative Fuel Stations API,Sum of ev_dc_fast_num by state.
Public_Station_Count,Official public electric station count.,AFDC Alternative Fuel Stations API,Count of AFDC records where access_code is public.
Private_Station_Count,Official private electric station count.,AFDC Alternative Fuel Stations API,Count of AFDC records where access_code is private.
PlugShare_Station_Count,Consumer-facing station count scraped from PlugShare.,PlugShare U.S. Directory,Parsed state station count from directory text.
EVs_Per_10000_Residents,Population-normalized EV adoption rate.,Calculated,"EV_Count divided by Population times 10,000."
Chargers_Per_1000_EVs,Official charger availability relative to registered EVs.,Calculated,"Official_Charger_Count divided by EV_Count times 1,000."
PlugShare_Per_10000_Residents,Consumer-facing charger visibility relative to population.,Calculated,"PlugShare_Station_Count divided by Population times 10,000."
AFDC_vs_PlugShare_Gap,Difference between official AFDC stations and PlugShare stations.,Calculated,AFDC_Charging_Station_Count minus PlugShare_Station_Count.
EV_Adoption_Score,0-100 normalized EV adoption component.,Calculated,Scaled EVs_Per_10000_Residents.
Official_Charging_Infrastructure_Score,0-100 normalized official infrastructure component.,Calculated,Scaled Chargers_Per_1000_EVs.
Consumer_Facing_Charging_Visibility_Score,0-100 normalized consumer-facing visibility component.,Calculated,Scaled PlugShare_Per_10000_Residents.
Median_Income_Score,0-100 normalized median income component.,Calculated,Scaled Median_Household_Income.
Population_Score,0-100 normalized population component.,Calculated,Scaled Population.
Poverty_Rate_Score,0-100 normalized inverse poverty component.,Calculated,100 minus scaled Poverty_Rate.
Economic_Readiness_Score,0-100 economic readiness component.,Calculated,"40% income score, 30% population score, 30% inverse poverty score."
EV_Opportunity_Score,Final EV expansion opportunity score.,Calculated,"35% adoption, 25% official infrastructure, 15% PlugShare visibility, 25% economic readiness."
Opportunity_Rank,Rank order by EV_Opportunity_Score.,Calculated,1 is highest opportunity.
Opportunity_Category,"High, Medium, or Low opportunity group.",Calculated,States split into score-based thirds.
Top_10_Flag,Identifies top 10 opportunity states for dashboard filtering.,Calculated,Opportunity_Rank less than or equal to 10.
Dashboard_Refresh_Date,Date the dashboard extract was created.,Calculated,System date when export script ran.
