State,State_Abbr,EV_Count,Population,Median_Household_Income,Per_Capita_Income,Pct_Bachelors_or_Higher,Unemployment_Rate,Poverty_Rate,Average_Commute_Time,AFDC_Charging_Station_Count,Official_Charger_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,PlugShare_Station_Count,EVs_Per_10000_Residents,Chargers_Per_1000_EVs,PlugShare_Per_10000_Residents,AFDC_vs_PlugShare_Gap,EV_Adoption_Score,Official_Charging_Infrastructure_Score,Consumer_Facing_Charging_Visibility_Score,Median_Income_Score,Population_Score,Poverty_Rate_Score,Economic_Readiness_Score,EV_Opportunity_Score,Opportunity_Rank,Opportunity_Category,EV_Data_Available,AFDC_Data_Available,Census_Data_Available,PlugShare_Data_Available,PlugShare_Source,PlugShare_Scrape_Date
California,CA,1256646,39356104,91905,45591,35.86440155903851,6.406478200694359,12.124320246167636,29.22,20578,74869,56618,18251,19364,1214,60319,319.3,59.58,15.33,-39741,100,6,67.43,85.58,100,59.57,82.11,67.14,1,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Vermont,VT,7816,643816,74014,41680,41.724669032509645,3.8400009125206385,10.427024998510172,23.34,561,1461,1177,284,539,22,1378,121.4,186.92,21.4,-817,35.57,53.99,100,46.24,0.17,73.87,40.71,51.12,2,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Massachusetts,MA,73768,6984205,96505,53513,45.909850224619376,5.316726707342516,9.9281159170337,29.4,4493,11769,9994,1775,4241,252,8351,105.62,159.54,11.96,-3858,30.44,43.67,49.36,95.7,16.52,78.07,66.66,45.64,3,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Washington,WA,152101,7688549,90325,48685,37.952568336177755,4.988725236352218,9.89639170085106,27.33,3233,9225,7110,2115,3011,222,8330,197.83,60.65,10.83,-5097,60.45,6.4,43.35,82.11,18.34,78.34,61.85,44.72,4,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Connecticut,CT,31557,3611317,90213,52034,41.38488331039079,5.9073463152895265,10.140715932971126,26.45,1691,5225,4448,777,1539,152,4698,87.38,165.57,13.01,-3007,24.5,45.94,55,81.86,7.82,76.28,57.98,42.8,5,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Colorado,CO,90083,5770790,87598,47346,43.73070433568681,4.533105861352668,9.553819024642117,25.58,2931,8156,6576,1580,2750,181,6512,156.1,90.54,11.28,-3581,46.87,17.67,45.76,76.11,13.39,81.23,58.83,42.39,6,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Wyoming,WY,1139,577929,72495,39547,28.98938749674581,3.8269456257036056,10.660072149688444,17.97,131,352,178,174,119,12,521,19.71,309.04,9.01,-390,2.47,100,33.59,42.9,0,71.91,38.73,40.59,7,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Maryland,MD,72139,6161707,98461,49865,42.223142911132264,5.11956509224095,9.25650280396134,31.99,1821,6042,4589,1453,1675,146,5903,117.08,83.75,9.58,-4082,34.16,15.11,36.62,100,14.4,83.73,69.44,38.59,8,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Maine,ME,7377,1366949,68251,39718,34.12279402481806,4.038857964534665,10.943665595048795,24.42,675,1653,1275,378,648,27,1658,53.97,224.07,12.13,-983,13.62,67.98,50.29,33.57,2.03,69.52,34.89,38.03,9,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Hawaii,HI,25565,1450589,94814,42683,34.71617919882957,5.051168521373196,9.609609821890578,26.56,428,1116,935,181,384,44,1027,176.24,43.65,7.08,-599,53.43,0,23.22,91.98,2.25,80.76,61.69,37.61,10,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
North Dakota,ND,959,776874,73959,40748,31.42560285705256,2.9237606214460277,10.763530000959008,17.9,113,283,136,147,109,4,584,12.34,295.1,7.52,-471,0.07,94.75,25.57,46.12,0.51,71.04,39.91,37.52,11,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Utah,UT,39998,3283809,86833,37023,36.130931941575135,3.352084411687373,8.51545504900004,21.92,1046,3146,2325,821,988,58,3604,121.8,78.65,10.98,-2558,35.7,13.19,44.1,74.43,6.98,89.97,58.86,37.12,12,High,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
