State,State_Abbr,EV_Count,EV_Data_Available,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,AFDC_Data_Available,Population,Median_Household_Income,Per_Capita_Income,Pct_Bachelors_or_Higher,Unemployment_Rate,Poverty_Rate,Average_Commute_Time,Census_Data_Available,PlugShare_Station_Count,PlugShare_Source,PlugShare_Scrape_Date,PlugShare_Data_Available
Alabama,AL,13047,TRUE,661,1266,904,551,110,TRUE,5028092,59609,33344,27.208387292476058,5.152174360946664,15.722492125943194,25.34447578364212,TRUE,2307,PlugShare U.S. Directory,2026-05-04,TRUE
Alaska,AK,2697,TRUE,84,120,97,75,9,TRUE,734821,86370,42828,30.74828503862136,6.35979867309779,10.487625001219865,19.29329338942829,TRUE,323,PlugShare U.S. Directory,2026-05-04,TRUE
Arizona,AZ,89798,TRUE,1581,3530,1443,1480,101,TRUE,7172282,72581,38334,31.79887348920128,5.366159376588977,13.065050808119269,25.545334768908884,TRUE,4707,PlugShare U.S. Directory,2026-05-04,TRUE
Arkansas,AR,7108,TRUE,395,886,262,366,29,TRUE,3018669,56335,31868,24.70555115616481,5.147137052830742,16.228857632436906,22.156545593141313,TRUE,1471,PlugShare U.S. Directory,2026-05-04,TRUE
California,CA,1256646,TRUE,20578,56618,18251,19364,1214,TRUE,39356104,91905,45591,35.86440155903851,6.406478200694359,12.124320246167636,29.223606598452104,TRUE,60319,PlugShare U.S. Directory,2026-05-04,TRUE
Colorado,CO,90083,TRUE,2931,6576,1580,2750,181,TRUE,5770790,87598,47346,43.73070433568681,4.533105861352668,9.553819024642117,25.58365615413198,TRUE,6512,PlugShare U.S. Directory,2026-05-04,TRUE
Connecticut,CT,31557,TRUE,1691,4448,777,1539,152,TRUE,3611317,90213,52034,41.38488331039079,5.9073463152895265,10.140715932971126,26.44809793277494,TRUE,4698,PlugShare U.S. Directory,2026-05-04,TRUE
Delaware,DE,8435,TRUE,253,467,301,231,22,TRUE,993635,79325,42180,34.461651369859105,5.4437291986368255,11.122978097670458,25.858466521531355,TRUE,868,PlugShare U.S. Directory,2026-05-04,TRUE
Florida,FL,254878,TRUE,4637,10993,4836,4301,336,TRUE,21634529,67917,38850,32.33321867666608,5.038977766657859,12.873944935928622,27.8897725911611,TRUE,13654,PlugShare U.S. Directory,2026-05-04,TRUE
Georgia,GA,92368,TRUE,2484,6165,2146,2365,119,TRUE,10722325,71355,37836,33.63367520555638,5.245745428703817,13.530059460373929,28.438137666758635,TRUE,7694,PlugShare U.S. Directory,2026-05-04,TRUE
Hawaii,HI,25565,TRUE,428,935,181,384,44,TRUE,1450589,94814,42683,34.71617919882957,5.051168521373196,9.609609821890578,26.564593050436105,TRUE,1027,PlugShare U.S. Directory,2026-05-04,TRUE
Idaho,ID,8501,TRUE,271,476,286,241,30,TRUE,1854109,70214,34919,30.20904135623643,3.763041018403137,11.01173363290602,21.39535790606623,TRUE,1091,PlugShare U.S. Directory,2026-05-04,TRUE
Illinois,IL,99573,TRUE,1872,3613,2512,1739,133,TRUE,12757634,78433,43198,36.67159211270079,5.955906641825619,11.763222409065586,28.411722051796826,TRUE,7841,PlugShare U.S. Directory,2026-05-04,TRUE
Indiana,IN,26101,TRUE,766,1550,934,701,65,TRUE,6784403,67173,35578,28.235267120629302,4.492525533836474,12.30361800145239,23.975296561258343,TRUE,2957,PlugShare U.S. Directory,2026-05-04,TRUE
Iowa,IA,9031,TRUE,509,773,572,485,24,TRUE,3188836,70571,37949,30.28004853599049,3.823290068310395,11.108485305433897,19.6478331802548,TRUE,1768,PlugShare U.S. Directory,2026-05-04,TRUE
Kansas,KS,11271,TRUE,612,1162,378,572,40,TRUE,2935922,69747,38108,34.68767518634637,4.006327031409191,11.581155861637011,19.685415132586577,TRUE,1688,PlugShare U.S. Directory,2026-05-04,TRUE
Kentucky,KY,11617,TRUE,417,829,432,389,28,TRUE,4502935,60183,33515,26.47245337547508,5.087176199674407,16.11704673650374,23.90586186586084,TRUE,1803,PlugShare U.S. Directory,2026-05-04,TRUE
Louisiana,LA,8150,TRUE,321,587,375,270,51,TRUE,4640546,57852,32981,26.130434141818423,6.576651646684492,18.654776592546447,25.971714970022752,TRUE,1275,PlugShare U.S. Directory,2026-05-04,TRUE
Maine,ME,7377,TRUE,675,1275,378,648,27,TRUE,1366949,68251,39718,34.12279402481806,4.038857964534665,10.943665595048795,24.424630463053113,TRUE,1658,PlugShare U.S. Directory,2026-05-04,TRUE
Maryland,MD,72139,TRUE,1821,4589,1453,1675,146,TRUE,6161707,98461,49865,42.223142911132264,5.11956509224095,9.25650280396134,31.98847281850244,TRUE,5903,PlugShare U.S. Directory,2026-05-04,TRUE
Massachusetts,MA,73768,TRUE,4493,9994,1775,4241,252,TRUE,6984205,96505,53513,45.909850224619376,5.316726707342516,9.9281159170337,29.401965863767888,TRUE,8351,PlugShare U.S. Directory,2026-05-04,TRUE
Michigan,MI,50284,TRUE,2119,4326,1609,2007,112,TRUE,10057921,68505,37929,31.135980297585668,6.026933481676181,13.13491329111057,24.47908374445847,TRUE,10451,PlugShare U.S. Directory,2026-05-04,TRUE
Minnesota,MN,37050,TRUE,1171,2294,997,1126,45,TRUE,5695292,84313,44947,38.19541233824559,3.967585166204092,9.262296155444911,23.300718860083713,TRUE,4199,PlugShare U.S. Directory,2026-05-04,TRUE
Mississippi,MS,3590,TRUE,248,453,329,220,28,TRUE,2958846,52985,29209,23.881814052782016,6.423147033353136,19.19687815143246,25.438463185113328,TRUE,879,PlugShare U.S. Directory,2026-05-04,TRUE
Missouri,MO,26861,TRUE,1381,2564,821,1312,69,TRUE,6154422,65920,36754,31.19323646992731,4.296559338782588,12.820297552948102,23.756004954515177,TRUE,3208,PlugShare U.S. Directory,2026-05-04,TRUE
Montana,MT,4608,TRUE,164,227,255,159,5,TRUE,1091840,66341,37837,33.978765497230285,3.8929935113775818,12.411913951666987,18.81019718752455,TRUE,1106,PlugShare U.S. Directory,2026-05-04,TRUE
Nebraska,NE,6920,TRUE,332,516,240,322,10,TRUE,1958939,71722,38585,33.463338229621634,3.0689636414131147,10.398441171678073,19.089507234976978,TRUE,1213,PlugShare U.S. Directory,2026-05-04,TRUE
