GEOID,NAME,total_populationE,total_populationM,median_household_incomeE,median_household_incomeM,per_capita_incomeE,per_capita_incomeM,poverty_universeE,poverty_universeM,poverty_countE,poverty_countM,aggregate_travel_time_minutesE,aggregate_travel_time_minutesM,workers_with_commuteE,workers_with_commuteM
01,Alabama,5028092,NA,59609,377,33344,211,4890427,1609,768897,10935,51658910,345778,2038271,9751
02,Alaska,734821,NA,86370,1083,42828,523,717293,533,75227,3390,6227605,101906,322786,2425
04,Arizona,7172282,NA,72581,450,38334,204,7017776,1577,916876,13566,71059330,410968,2781695,11961
05,Arkansas,3018669,NA,56335,422,31868,310,2931377,1030,475729,6881,26944420,228478,1216093,6738
06,California,39356104,NA,91905,277,45591,149,38643585,4300,4685272,38720,463270935,1077551,15852627,22378
08,Colorado,5770790,NA,87598,508,47346,253,5653289,1198,540105,10645,64239000,353869,2510939,8760
09,Connecticut,3611317,NA,90213,730,52034,404,3507563,869,355692,7493,41563900,302595,1571527,7905
10,Delaware,993635,NA,79325,1227,42180,471,969075,731,107790,3568,10713835,153595,414326,3827
11,District of Columbia,670587,NA,101722,1569,71297,958,649184,503,98039,3824,8392940,159656,275130,3744
12,Florida,21634529,NA,67917,259,38850,186,21171700,2589,2725633,29282,243090270,907292,8716108,20822
13,Georgia,10722325,NA,71355,353,37836,200,10462430,2126,1415573,19488,125025400,677251,4396399,15305
15,Hawaii,1450589,NA,94814,994,42683,431,1414636,1005,135941,4495,17217230,196804,648127,4349
16,Idaho,1854109,NA,70214,715,34919,346,1805238,753,198788,5715,16459620,158376,769308,4405
17,Illinois,12757634,NA,78433,297,43198,199,12478664,2363,1467893,16574,154142485,641806,5425313,15614
18,Indiana,6784403,NA,67173,383,35578,204,6589135,2136,810702,12590,70930795,439123,2958495,10650
19,Iowa,3188836,NA,70571,395,37949,241,3088999,950,343141,6097,28493995,232811,1450236,6535
20,Kansas,2935922,NA,69747,479,38108,364,2848334,928,329870,7570,25744330,198234,1307787,6276
21,Kentucky,4502935,NA,60183,443,33515,209,4372749,1269,704758,11207,43874500,339555,1835303,7988
22,Louisiana,4640546,NA,57852,468,32981,265,4513793,1758,842038,13427,48590975,384117,1870919,9128
23,Maine,1366949,NA,68251,611,39718,394,1329454,587,145491,4297,14349275,177381,587492,3670
24,Maryland,6161707,NA,98461,511,49865,225,6034320,1972,558567,12491,84650040,434310,2646267,10474
25,Massachusetts,6984205,NA,96505,551,53513,287,6772292,1548,672361,11769,90231105,461562,3068880,9678
26,Michigan,10057921,NA,68505,307,37929,155,9845242,1606,1293164,13321,101384605,438980,4141683,12295
27,Minnesota,5695292,NA,84313,348,44947,204,5574039,1507,516284,8477,59047540,291916,2534151,7868
28,Mississippi,2958846,NA,52985,527,29209,294,2858819,1158,548804,8778,29946515,313109,1177214,7142
29,Missouri,6154422,NA,65920,361,36754,192,5979440,1650,766582,11744,62486085,394655,2630328,9923
30,Montana,1091840,NA,66341,748,37837,460,1066145,564,132329,4021,8859095,117055,470973,3019
31,Nebraska,1958939,NA,71722,577,38585,300,1908613,865,198466,4850,17473485,158097,915345,3738
32,Nevada,3104817,NA,71646,495,37945,252,3063729,1385,389456,7392,32249110,218985,1305189,6290
33,New Hampshire,1379610,NA,90845,966,48250,430,1340074,588,98162,3348,17021585,188163,630926,4434
34,New Jersey,9249063,NA,97126,605,50995,277,9081112,1827,879179,13856,122290480,588758,3927757,11564
35,New Mexico,2112463,NA,58722,581,32667,256,2070966,1038,378651,8012,18861435,256101,815212,5140
36,New York,19994379,NA,81386,350,47173,209,19516967,2775,2655662,26624,275523680,986828,8306205,21191
37,North Carolina,10470214,NA,66186,380,37641,188,10186155,2180,1357418,16053,107793965,494298,4310113,13191
38,North Dakota,776874,NA,73959,1131,40748,450,750776,491,80810,3337,6774545,106564,378569,2332
39,Ohio,11774683,NA,66990,272,37729,162,11472644,2055,1526507,17011,118947335,595911,5031783,12645
40,Oklahoma,3970497,NA,61364,451,33630,250,3847702,1040,585991,6900,36994465,192185,1658016,4888
41,Oregon,4229374,NA,76632,539,41805,256,4149034,1646,494158,9246,39780580,282838,1707132,7977
42,Pennsylvania,12989208,NA,73170,347,41234,183,12582125,1889,1482439,18052,146141400,650543,5466237,17000
44,Rhode Island,1094250,NA,81370,1213,43324,529,1051789,589,118033,4599,12409750,155612,490538,3963
45,South Carolina,5142750,NA,63623,486,36072,266,5002332,1479,717849,11836,54759450,395881,2144553,9931
46,South Dakota,890342,NA,69457,788,36850,445,860878,590,105542,2944,7168230,96996,410805,2850
47,Tennessee,6923772,NA,64035,350,36040,208,6759549,2334,943583,13561,73963710,458627,2901815,10386
48,Texas,29243342,NA,73035,227,37514,130,28615931,3764,3990326,37547,325400930,1041657,12242840,23664
49,Utah,3283809,NA,86833,674,37023,249,3231630,1188,275188,8043,30465050,204486,1389622,5915
50,Vermont,643816,NA,74014,1049,41680,571,620877,246,64739,2485,6694620,88211,286834,2660
51,Virginia,8624511,NA,87249,428,47210,250,8379773,2104,836686,13817,102838440,510749,3691483,10143
53,Washington,7688549,NA,90325,433,48685,231,7553642,2065,747538,12498,86033295,396856,3147532,8664
54,West Virginia,1792967,NA,55217,577,31462,341,1736883,1105,291860,7189,17717955,203956,673562,4316
55,Wisconsin,5882128,NA,72458,372,40130,248,5743164,1235,611661,7049,59310420,244265,2673840,6928
56,Wyoming,577929,NA,72495,1201,39547,743,564105,349,60134,2378,4719470,112092,262653,2397
72,Puerto Rico,3272382,NA,24002,222,15637,157,3242916,568,1368360,12535,28572185,284178,1000735,6805
