Raw_File,Field,Data_Type,Description,Source
aaa_state_gas_prices_raw.csv,Diesel_Raw,character,Raw diesel price string.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Mid_Grade_Raw,character,Raw mid-grade gas price string.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Premium_Raw,character,Raw premium gas price string.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Price_Date,character,AAA-reported price date from the page text.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Raw_Table_Row,character,Raw markdown table row from the AAA state gas price table.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Regular_Raw,character,Raw regular gas price string.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Retrieval_URL,character,Text-reader URL used to retrieve the page content when direct access is blocked.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Scrape_Date,Date,Date the AAA page was scraped.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,Source_URL,character,Original AAA state gas price averages page.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,State,character,State or district name in the AAA table.,AAA State Gas Price Averages
aaa_state_gas_prices_raw.csv,State_Abbr,character,Two-letter state abbreviation from the AAA state link.,AAA State Gas Price Averages
afdc_charging_raw.csv,access_code,character,"Station access type, such as public or private.",AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,city,character,Station city.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,country,character,Country code.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,date_last_confirmed,Date,Date the station record was last confirmed.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,ev_dc_fast_num,numeric,Number of DC fast chargers at the station.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,ev_level2_evse_num,numeric,Number of Level 2 EVSE at the station.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,ev_network,character,Charging network name.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,facility_type,character,AFDC facility type code.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,fuel_type_code,character,Fuel type code. Filtered to ELEC.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,id,numeric,Unique AFDC station identifier.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,latitude,numeric,Station latitude.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,longitude,numeric,Station longitude.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,open_date,Date,Station opening date when available.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,owner_type_code,character,AFDC owner type code.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,state,character,Two-letter state abbreviation.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,station_name,character,Charging station name.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,status_code,character,AFDC station status code.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,street_address,character,Station street address.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,updated_at,POSIXct/POSIXt,Timestamp when the station record was updated.,AFDC Alternative Fuel Stations API
afdc_charging_raw.csv,zip,character,Station ZIP code.,AFDC Alternative Fuel Stations API
census_state_raw.csv,GEOID,character,Census state geographic identifier.,Census ACS via tidycensus
census_state_raw.csv,NAME,character,State name.,Census ACS via tidycensus
census_state_raw.csv,aggregate_travel_time_minutesE,numeric,ACS estimate for aggregate travel time to work in minutes.,Census ACS via tidycensus
census_state_raw.csv,aggregate_travel_time_minutesM,numeric,Margin of error for aggregate travel time to work.,Census ACS via tidycensus
census_state_raw.csv,median_household_incomeE,numeric,ACS estimate for median household income.,Census ACS via tidycensus
census_state_raw.csv,median_household_incomeM,numeric,Margin of error for median household income.,Census ACS via tidycensus
census_state_raw.csv,per_capita_incomeE,numeric,ACS estimate for per capita income.,Census ACS via tidycensus
census_state_raw.csv,per_capita_incomeM,numeric,Margin of error for per capita income.,Census ACS via tidycensus
census_state_raw.csv,poverty_countE,numeric,ACS estimate for people below poverty level.,Census ACS via tidycensus
census_state_raw.csv,poverty_countM,numeric,Margin of error for people below poverty level.,Census ACS via tidycensus
census_state_raw.csv,poverty_universeE,numeric,ACS estimate for poverty universe.,Census ACS via tidycensus
census_state_raw.csv,poverty_universeM,numeric,Margin of error for poverty universe.,Census ACS via tidycensus
census_state_raw.csv,total_populationE,numeric,ACS estimate for total population.,Census ACS via tidycensus
census_state_raw.csv,total_populationM,logical,Margin of error for total population.,Census ACS via tidycensus
census_state_raw.csv,workers_with_commuteE,numeric,ACS estimate for workers with reported commute time.,Census ACS via tidycensus
census_state_raw.csv,workers_with_commuteM,numeric,Margin of error for workers with reported commute time.,Census ACS via tidycensus
ev_registration_state_raw.csv,...3,logical,Blank/source artifact column from the downloaded spreadsheet.,AFDC EV registration Excel download
ev_registration_state_raw.csv,...4,character,Blank/source artifact column from the downloaded spreadsheet.,AFDC EV registration Excel download
ev_registration_state_raw.csv,Registration Count,numeric,Registered light-duty electric vehicles by state.,AFDC EV registration Excel download
ev_registration_state_raw.csv,State,character,U.S. state name.,AFDC EV registration Excel download
