Rank,State,Category,Score,"EVs per 10,000 Residents","Chargers per 1,000 EVs",Economic Readiness
41,Alabama,Low,19.12,25.95,166.32,18.05
42,New Mexico,Low,18.8,48.64,129.43,8.54
43,Tennessee,Low,18.54,47.98,101.56,27.86
44,Indiana,Low,17.82,38.47,95.17,34.7
45,South Carolina,Low,17.61,40.59,110.43,25.14
46,Arkansas,Low,17.2,23.55,161.51,12.34
47,Mississippi,Low,17.05,12.13,217.83,1.84
48,Oklahoma,Low,15.48,57.53,83.44,20.02
49,Kentucky,Low,12.97,25.8,108.55,17.15
50,Louisiana,Low,9.82,17.56,118.04,8.79
