Rank,State,Category,Score,"EVs per 10,000 Residents","Chargers per 1,000 EVs",Economic Readiness
1,California,High,67.14,319.3,59.58,82.11
2,Vermont,High,51.12,121.4,186.92,40.71
3,Massachusetts,High,45.64,105.62,159.54,66.66
4,Washington,High,44.72,197.83,60.65,61.85
5,Connecticut,High,42.8,87.38,165.57,57.98
6,Colorado,High,42.39,156.1,90.54,58.83
7,Wyoming,High,40.59,19.71,309.04,38.73
8,Maryland,High,38.59,117.08,83.75,69.44
9,Maine,High,38.03,53.97,224.07,34.89
10,Hawaii,High,37.61,176.24,43.65,61.69
